Product URL,Reported Page Type,LLM Page Type,Found More Info,LLM Item Count,LLM Item Numbers,Notes,Raw Items JSON
https://www.safcodental.com/product/beesure-reg-neogrene-trade,unsupported_layout,product,no,1,None,"The page displays a 'From $24.29' price, suggesting multiple item variations (e.g., different sizes or pack quantities). However, the provided HTML and text snippet do not contain any explicit selectors (like dropdowns or tables) or distinct item records for these variations. Therefore, only information for a single, implied item can be extracted based on the visible content.","[{""item_number"": null, ""product_name"": ""BeeSure NeoGrene"", ""mfr_number"": null, ""attributes"": ""Color: Green; Type: Powder-free chloroprene examination gloves; Features: Textured fingertip finish, Beaded cuff, Ambidextrous, Polymer coated for easy donning; Thickness: at palm 3.2 mils, at fingertip 3.4 mils (±0.2); Pack Quantity: 200 gloves per box; Case Pack Rule: Order 10 boxes to purchase a case"", ""availability"": null, ""price"": ""$24.29"", ""qty_tiers"": null}]"
https://www.safcodental.com/product/microflex-reg-midknight-trade-touch,unsupported_layout,product_page,no,1,,"The price 'From $8.99' suggests the existence of multiple item variations, but no specific item-level options (e.g., size, quantity tiers with distinct prices or SKUs) are explicitly visible in the provided snippets. The detailed description applies to the product generally, not to distinct item variations.","[{""item_number"": """", ""product_name"": ""Ansell Microflex MidKnight Touch"", ""mfr_number"": """", ""attributes"": ""Nitrile gloves; Powder-free nitrile exam gloves; ERGOFORM technology reduces muscle strain and improves comfort; Textured fingertip finish; Beaded cuff; Ambidextrous; Black color; Thickness: at palm 2.8 mils; at fingertip 4.3 mils; 100 gloves per box"", ""availability"": """", ""price"": ""$8.99"", ""qty_tiers"": """"}]"
https://www.safcodental.com/product/micro-touch-reg-nitrafree-trade-pink,unsupported_layout,product,no,1,,"The page displays a single product with a 'From $15.99' price, but no explicit item-level variations (e.g., different sizes, quantities, or MFR numbers) are visible in the provided snippet. The description mentions '100 gloves per box' and 'Order 10 boxes to purchase a case' as product features, not distinct purchasable items.","[{""item_number"": """", ""product_name"": ""Micro-Touch NitraFree Pink"", ""mfr_number"": """", ""attributes"": ""Color: Pink; Thickness: at palm 3.1 mils; at fingertip 5.5 mils; Quantity per box: 100 gloves"", ""availability"": """", ""price"": ""$15.99"", ""qty_tiers"": ""Order 10 boxes to purchase a case""}]"
https://www.safcodental.com/product/aurelia-reg-bold-reg,unsupported_layout,product,no,0,,"The page displays a single product with a 'From $7.99' price, suggesting potential variations, but no distinct item-level information (like different sizes, colors, or packaging with unique prices, item numbers, or availability) is explicitly visible in the provided HTML/text snippet. The description mentions '100 gloves per box' and 'Order 10 boxes to purchase a case', which are details about the product's packaging and bulk ordering, not separate items.",[]
https://www.safcodental.com/product/aurelia-sup-reg-sup-robust-sup-reg-sup,unsupported_layout,product,no,1,,"The price 'From $7.49' suggests variations, but no selectable item-level options or quantity tiers with specific pricing are visible in the provided HTML/text. The description mentions '100 gloves per box' and 'Order 10 boxes to purchase a case' but these are descriptive and not presented as distinct items with their own prices.","[{""item_number"": """", ""product_name"": ""Aurelia® Robust®"", ""mfr_number"": """", ""attributes"": ""Powder-free nitrile exam gloves; High strength and durability; Approved for chemotherapy and fentanyl treatment; Micro-textured finish for improved grip; Beaded cuff; Chlorinated; Ambidextrous; Blue color; Thickness: at palm 4.5 mils; at fingertips 6.0 mils; 100 gloves per box"", ""availability"": """", ""price"": ""$7.49"", ""qty_tiers"": """"}]"
https://www.safcodental.com/product/aurelia-reg-sonic-reg-100,unsupported_layout,product,no,0,,"The page displays a 'From $6.99' price, which typically indicates the presence of multiple item variations (e.g., different sizes, quantities, or colors) with varying prices. However, the provided HTML/text snippet does not contain any explicit selectors (like dropdowns, radio buttons, or tables) that would allow for the selection of different item variations, nor does it list distinct item-level details (such as unique item numbers, manufacturer numbers, or specific prices for different attributes) beyond a single product description. Therefore, no additional item-level information could be extracted.",[]
https://www.safcodental.com/product/contour-reg,unsupported_layout,product,yes,1,None,Additional product details like price and attributes are visible.,"[{""item_number"": null, ""product_name"": ""Cranberry Contour Nitrile gloves"", ""mfr_number"": null, ""attributes"": ""Powder-free nitrile exam gloves. Good tactile sensitivity with maximum puncture resistance. Textured whole hand finish. Beaded cuff. Chlorinated. Ambidextrous. Blue color. Thickness: at palm 4.3 mils; at fingertip 5 mils; ± 0.8. 100 gloves per box."", ""availability"": null, ""price"": ""$10.29"", ""qty_tiers"": ""Order 10 boxes to purchase a case""}]"
https://www.safcodental.com/product/aurelia-sup-reg-sup-prot-eacute-g-eacute-sup-reg-sup,unsupported_layout,product_page,yes,1,,"Extracted product name, price, and several detailed attributes. Item number, manufacturer number, explicit availability status, and specific quantity price tiers were not found.","[{""item_number"": """", ""product_name"": ""Aurelia Protege"", ""mfr_number"": """", ""attributes"": ""Nitrile powder-free exam gloves; Textured fingertip finish; Beaded cuff; Chlorinated; Ambidextrous; Blue color; Thickness: at palm 4.0 mils; at fingertip 5.2 mils; ± 1.2; Packaging: 100 gloves per box; Case quantity: 10 boxes"", ""availability"": """", ""price"": ""$7.49"", ""qty_tiers"": """"}]"
https://www.safcodental.com/product/aurelia-reg-distinct-reg,unsupported_layout,product,no,1,None,"The price 'From $8.79' suggests there might be variations, but no explicit item-level variations (e.g., different sizes, quantities with distinct prices) are visible in the provided text or HTML.","[{""item_number"": null, ""product_name"": ""Aurelia Distinct"", ""mfr_number"": null, ""attributes"": ""Powder-free latex exam gloves. Premium quality. Honeycomb textured fingertips and palms. Beaded cuff. Non-Chlorinated. Ambidextrous. 50μg or less of latex protein. White color. Polymer coated for easy donning. 100 gloves per box."", ""availability"": null, ""price"": ""$8.79"", ""qty_tiers"": ""Order 10 boxes to purchase a case""}]"
https://www.safcodental.com/product/flexaprene-green,unsupported_layout,product_page,yes,1,,"Detailed product attributes extracted for a single product. The price is indicated as 'From $28.59', suggesting potential variations or quantity tiers, but no specific tiers or alternative prices are visible in the provided snippet. No distinct item variations (e.g., sizes, colors with separate SKUs) or explicit item numbers/MFR numbers were found.","[{""item_number"": """", ""product_name"": ""Halyard Flexaprene Green"", ""mfr_number"": """", ""attributes"": ""Powder-free, Fingertip textured, Beaded cuff, Ambidextrous, Chloroprene (Neoprene) material, Green color, Polymer coated for easy donning, Thickness: at palm 3.0 mils; at fingertip 3.5 mils, 200 gloves per box"", ""availability"": """", ""price"": ""From $28.59"", ""qty_tiers"": """"}]"
